itemId,simScore,hotLevel,category,pId
item01,1,1,1,1 
item02,1,2,1,1 
item03,1,3,1,1 
item04,1,4,1,1 
item05,1,5,1,1 
item06,1,6,1,1 
item07,1,7,1,1 
item08,1,8,1,1 
item09,1,9,1,1 
item10,1,10,1,1 
item11,1,11,1,1 
item12,1,12,1,1 
item13,1,13,1,1 
item14,1,14,1,1 
item15,1,15,1,1 
item16,1,16,1,1 
item17,1,17,1,1 
item18,1,18,1,1 
item19,1,19,1,1 
item20,1,20,1,1 
item21,1,21,1,1 
item22,1,22,1,1 
item23,1,23,1,1 
item24,1,24,1,1 
item25,1,25,1,1 
item26,1,26,1,1 
item27,1,27,1,1 
item28,1,28,1,1 
item29,1,29,1,1 
item30,1,30,1,1 
item31,1,31,1,1 
item32,1,32,1,1 
item33,1,33,1,1 
item34,1,34,1,1 
item35,1,35,1,1 
item36,1,36,1,1 
item37,1,37,1,1 
item38,1,38,1,1 
item39,1,39,1,1 
item40,1,40,1,1 
item41,1,41,1,1 
item42,1,42,1,1 
item43,1,43,1,1 
item44,1,44,1,1 
item45,1,45,1,1 
item46,1,46,1,1 
item47,1,47,1,1 
item48,1,48,1,1 
item49,1,49,1,1 
item50,1,50,1,1 
item51,1,51,1,1 
item52,1,52,1,1 
item53,1,53,1,1 
item54,1,54,1,1 
item55,1,55,1,1 
item56,1,56,1,1 
item57,1,57,1,1 
item58,1,58,1,1 
item59,1,59,1,1 
item60,1,60,1,1 
item61,1,61,1,1 
item62,1,62,1,1 
item63,1,63,1,1 
item64,1,64,1,1 
item65,1,65,1,1 
item66,1,66,1,1 
item67,1,67,1,1 
item68,1,68,1,1 
item69,1,69,1,1 
item70,1,70,1,1 
item71,1,71,1,1 
item72,1,72,1,1 
item73,1,73,1,1 
item74,1,74,1,1 
item75,1,75,1,1 
item76,1,76,1,1 
item77,1,77,1,1 
item78,1,78,1,1 
item79,1,79,1,1 
item80,1,80,1,1 
item81,1,81,1,1 
item82,1,82,1,1 
item83,1,83,1,1 
item84,1,84,1,1 
item85,1,85,1,1 
item86,1,86,1,1 
item87,1,87,1,1 
item88,1,88,1,1 
item89,1,89,1,1 
item90,1,90,1,1 
item91,1,91,1,1 
item92,1,92,1,1 
item93,1,93,1,1 
item94,1,94,1,1 
item95,1,95,1,1 
item96,1,96,1,1 
item97,1,97,1,1 
item98,1,98,1,1 
item99,1,99,1,1 
item100,1,100,1,1 
item101,1,101,1,1 
item102,1,102,1,1 
item103,1,103,1,1 
item104,1,104,1,1 
item105,1,105,1,1 
item106,1,106,1,1 
item107,1,107,1,1 
item108,1,108,1,1 
item109,1,109,1,1 
item110,1,110,1,1 
item111,1,111,1,1 
item112,1,112,1,1 
item113,1,113,1,1 
item114,1,114,1,1 
item115,1,115,1,1 
item116,1,116,1,1 
item117,1,117,1,1 
item118,1,118,1,1 
item119,1,119,1,1 
item120,1,120,1,1 
item121,1,121,1,1 
item122,1,122,1,1 
item123,1,123,1,1 
item124,1,124,1,1 
item125,1,125,1,1 
item126,1,126,1,1 
item127,1,127,1,1 
