UserId,ItemId,Type,Time,Version
U01,item01,1,2014-07-08 09:0012,1
U02,item02,2,2014-07-08 09:0013,1
U03,item03,3,2014-07-08 09:0014,1
U04,item04,4,2014-07-08 09:0015,1
U05,item05,5,2014-07-08 09:0016,1
U06,item06,6,2014-07-08 09:0017,1
U07,item07,7,2014-07-08 09:0018,1
U08,item08,8,2014-07-08 09:0019,1
U09,item09,9,2014-07-08 09:0020,1
U10,item10,10,2014-07-08 09:0021,1
U11,item11,11,2014-07-08 09:0022,1
U12,item12,12,2014-07-08 09:0023,1
U13,item13,13,2014-07-08 09:0024,1
U14,item14,14,2014-07-08 09:0025,1
U15,item15,15,2014-07-08 09:0026,1
U16,item16,16,2014-07-08 09:0027,1
U17,item17,17,2014-07-08 09:0028,1
U18,item18,18,2014-07-08 09:0029,1
U19,item19,19,2014-07-08 09:0030,1
U20,item20,20,2014-07-08 09:0031,1
U21,item21,21,2014-07-08 09:0032,1
U22,item22,22,2014-07-08 09:0033,1
U23,item23,23,2014-07-08 09:0034,1
U24,item24,24,2014-07-08 09:0035,1
U25,item25,25,2014-07-08 09:0036,1
U26,item26,26,2014-07-08 09:0037,1
U27,item27,27,2014-07-08 09:0038,1
U28,item28,28,2014-07-08 09:0039,1
U29,item29,29,2014-07-08 09:0040,1
U30,item30,30,2014-07-08 09:0041,1
U31,item31,31,2014-07-08 09:0042,1
U32,item32,32,2014-07-08 09:0043,1
U33,item33,33,2014-07-08 09:0044,1
U34,item34,34,2014-07-08 09:0045,1
U35,item35,35,2014-07-08 09:0046,1
U36,item36,36,2014-07-08 09:0047,1
U37,item37,37,2014-07-08 09:0048,1
U38,item38,38,2014-07-08 09:0049,1
U39,item39,39,2014-07-08 09:0050,1
U40,item40,40,2014-07-08 09:0051,1
U41,item41,41,2014-07-08 09:0052,1
U42,item42,42,2014-07-08 09:0053,1
U43,item43,43,2014-07-08 09:0054,1
U44,item44,44,2014-07-08 09:0055,1
U45,item45,45,2014-07-08 09:0056,1
U46,item46,46,2014-07-08 09:0057,1
U47,item47,47,2014-07-08 09:0058,1
U48,item48,48,2014-07-08 09:0059,1
U49,item49,49,2014-07-08 09:0060,1
U50,item50,50,2014-07-08 09:0061,1
U51,item51,51,2014-07-08 09:0062,1
U52,item52,52,2014-07-08 09:0063,1
U53,item53,53,2014-07-08 09:0064,1
U54,item54,54,2014-07-08 09:0065,1
